CreationTime,AuthenticateCount,ActiveCount,DisconnectCount,CPUUtil,MemoryUsed,MemoryFree,TempMin,TempMax,TempAvg,InBandwidth,OutBandwidth,InTotalPPS,OutTotalPPS
2018-08-04 06:00:00,5.0,10543.0,1.0,16.0,1602644000.0,5651524000.0,31.0,56.0,43.8,95272379.68791553,183976697.1267776,121528.62853777228,231922.48155998415
2018-08-04 06:15:00,2.0,10542.0,4.0,15.0,1597744000.0,5656424000.0,32.0,56.0,44.0,105926986.55944033,205200687.6217245,135361.5093620972,257736.1418846678
2018-08-04 06:30:00,2.0,10580.0,1.0,16.0,1597188000.0,5656980000.0,33.0,56.0,43.9,111155039.89510344,216108047.4775011,140653.02324988978,270976.2355787756
2018-08-04 06:45:00,4.0,10704.0,4.0,17.0,1597116000.0,5657052000.0,32.0,56.0,44.0,126392894.42613585,244681882.17135164,157786.50292066624,302137.7048433203
2018-08-04 07:00:00,5.0,10810.0,4.0,15.0,1601476000.0,5652692000.0,33.0,58.0,45.3,137630386.17256123,258748730.06077552,169042.66341518372,315034.02795848413
2018-08-04 07:15:00,6.0,10835.0,4.0,17.0,1597556000.0,5656624000.0,32.0,57.0,44.5,152922503.06203485,273784135.7064944,187722.73846439447,333626.3035963767
2018-08-04 07:30:00,5.0,10512.0,5.0,15.0,1596736000.0,5657360000.0,33.0,57.0,44.5,176046000.0801229,296196129.5835004,212627.51212500464,356124.8006198881
2018-08-04 07:45:00,0.0,10554.0,0.0,17.0,1596232000.0,5657936000.0,32.0,57.0,44.4,191495785.9035589,311983126.28471905,230539.16828898198,373725.06179746066
2018-08-04 08:00:00,3.0,10819.0,3.0,18.0,1598620000.0,5655548000.0,33.0,57.0,44.3,204142434.49574187,324778654.72322726,243740.27563701695,386482.99813241325
2018-08-04 08:15:00,4.0,11474.0,5.0,21.0,1595160000.0,5659008000.0,32.0,57.0,44.1,222085204.56895533,342825799.16479635,266212.471550336,409218.7285198545
2018-08-04 08:30:00,3.0,11707.0,3.0,20.0,1600920000.0,5653248000.0,33.0,57.0,44.5,243964994.0655637,363911718.98180985,289601.16741487663,429576.49563341355
2018-08-04 08:45:00,2.0,11819.0,3.0,20.0,1601224000.0,5652944000.0,33.0,57.0,44.4,262216589.6619274,382639811.2354564,310578.92285979085,450504.5515823333
2018-08-04 09:00:00,4.0,12247.0,4.0,21.0,1599364000.0,5654804000.0,33.0,57.0,44.4,276002690.0810127,396679625.2990509,327751.4586175509,468198.3690095805
2018-08-04 09:15:00,2.0,12697.0,1.0,21.0,1595300000.0,5658868000.0,36.0,59.0,45.7,301962489.14158756,422191199.1476541,356084.73781848606,495064.1116430992
2018-08-04 09:30:00,5.0,13076.0,3.0,21.0,1595632000.0,5658536000.0,33.0,60.0,46.1,323083517.10574293,442905730.8023679,379733.94912319584,516632.77877425676
2018-08-04 09:45:00,9.0,13496.0,3.0,21.0,1595612000.0,5658556000.0,34.0,60.0,47.0,333832649.2902048,453986870.77729446,392345.64784512436,530618.693971703
